noise,parallel_type,graph,threads,resolution,mean,std,max,min
RidgedNoise,parallel,False,22,640x480,6764587.8,38890.027136718956,6868363,6720674
RidgedNoise,parallel,True,22,640x480,1070659.15,17713.248447285525,1113910,1043350
RidgedNoise,parallel,False,24,640x480,6772585.45,37863.3234152788,6848234,6722691
RidgedNoise,parallel,True,24,640x480,1076971.85,21296.97114188825,1127473,1041682
RidgedNoise,parallel,False,2,640x480,4437543.2,168431.1955480557,5036670,4342399
RidgedNoise,parallel,True,2,640x480,658380.65,16850.845505180852,683950,627756
RidgedNoise,parallel,False,4,640x480,5323043.55,31180.176994661542,5381582,5271608
RidgedNoise,parallel,True,4,640x480,805479.55,13122.781169742462,840117,784436
RidgedNoise,parallel,False,6,640x480,5910377.8,27471.750934943677,5982666,5876267
RidgedNoise,parallel,True,6,640x480,898009.65,20601.64573465712,954202,869416
RidgedNoise,parallel,False,8,640x480,6338188.2,68895.24235013772,6574449,6260269
RidgedNoise,parallel,True,8,640x480,968151.55,17027.443710468047,1003346,937748
RidgedNoise,sequential,False,0,640x480,6998768.1,404275.34688025113,8135497,6753264
